Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
AGE 10 - TAG A,F,Chamber4,9214,CAA,POST4,0,0,0,0,201.21,0,913
AGE 10 - TAG A,G,Chamber1,8360,CAB,PRE,1,1.167,0.26,0.78,251.07,0,1661
AGE 10 - TAG A,G,Chamber1,8360,CAB,SHK1,0,0,0,0,230.05,0,635
AGE 10 - TAG A,G,Chamber1,8360,CAB,POST1,0,0,0,0,308.15,0,1613
AGE 10 - TAG A,G,Chamber1,8360,CAB,SHK2,0,0,0,0,553.88,1,1324
AGE 10 - TAG A,G,Chamber1,8360,CAB,POST2,0,0,0,0,230.88,0,1525
AGE 10 - TAG A,G,Chamber1,8360,CAB,SHK3,0,0,0,0,123.1,3,323
AGE 10 - TAG A,G,Chamber1,8360,CAB,POST3,1,1.633,0.36,2.09,151.49,0,935
AGE 10 - TAG A,G,Chamber1,8360,CAB,SHK4,0,0,0,0,105.7,0,407
AGE 10 - TAG A,G,Chamber1,8360,CAB,POST4,0,0,0,0,160.73,0,1649
AGE 10 - TAG A,G,Chamber2,8364,CAB,PRE,4,5.733,1.27,3.82,229.41,0,1818
AGE 10 - TAG A,G,Chamber2,8364,CAB,SHK1,0,0,0,0,458.45,1,1163
AGE 10 - TAG A,G,Chamber2,8364,CAB,POST1,0,0,0,0,258.5,0,1347
AGE 10 - TAG A,G,Chamber2,8364,CAB,SHK2,0,0,0,0,342.17,31,611
AGE 10 - TAG A,G,Chamber2,8364,CAB,POST2,1,1,0.22,1.28,241.71,0,1890
AGE 10 - TAG A,G,Chamber2,8364,CAB,SHK3,0,0,0,0,456.2,119,828
AGE 10 - TAG A,G,Chamber2,8364,CAB,POST3,0,0,0,0,229.61,0,1081
AGE 10 - TAG A,G,Chamber2,8364,CAB,SHK4,0,0,0,0,101.57,0,466
AGE 10 - TAG A,G,Chamber2,8364,CAB,POST4,1,1.667,0.37,2.87,251.37,0,1359
AGE 10 - TAG A,G,Chamber3,9204,CAB,PRE,4,4.833,1.07,3.22,134.61,0,971
AGE 10 - TAG A,G,Chamber3,9204,CAB,SHK1,0,0,0,0,158.38,2,444
AGE 10 - TAG A,G,Chamber3,9204,CAB,POST1,2,2.233,0.5,2.86,162.98,0,1113
AGE 10 - TAG A,G,Chamber3,9204,CAB,SHK2,0,0,0,0,322.8,39,787
AGE 10 - TAG A,G,Chamber3,9204,CAB,POST2,4,5.2,1.16,6.67,127.76,0,1041
AGE 10 - TAG A,G,Chamber3,9204,CAB,SHK3,0,0,0,0,47.53,1,241
AGE 10 - TAG A,G,Chamber3,9204,CAB,POST3,6,7.733,1.72,9.91,100.92,0,757
AGE 10 - TAG A,G,Chamber3,9204,CAB,SHK4,1,1,0.22,50,124.6,0,661
AGE 10 - TAG A,G,Chamber3,9204,CAB,POST4,6,7.533,1.67,12.99,95.66,0,707
AGE 10 - TAG A,G,Chamber4,8487,CAB,PRE,3,3.633,0.81,2.42,156.25,0,1140
AGE 10 - TAG A,G,Chamber4,8487,CAB,SHK1,0,0,0,0,54.72,0,151
AGE 10 - TAG A,G,Chamber4,8487,CAB,POST1,0,0,0,0,220.09,0,1086
AGE 10 - TAG A,G,Chamber4,8487,CAB,SHK2,0,0,0,0,109.68,0,354
AGE 10 - TAG A,G,Chamber4,8487,CAB,POST2,3,4.233,0.94,5.43,135.28,0,848
AGE 10 - TAG A,G,Chamber4,8487,CAB,SHK3,0,0,0,0,348.63,20,970
AGE 10 - TAG A,G,Chamber4,8487,CAB,POST3,0,0,0,0,184.08,0,1215
AGE 10 - TAG A,G,Chamber4,8487,CAB,SHK4,0,0,0,0,88.48,9,246
AGE 10 - TAG A,G,Chamber4,8487,CAB,POST4,1,1.267,0.28,2.18,193.98,0,958
AGE 10 - TAG A,H,Chamber1,8365,CAB,PRE,0,0,0,0,286.1,0,1737
AGE 10 - TAG A,H,Chamber1,8365,CAB,SHK1,0,0,0,0,151.38,1,591
AGE 10 - TAG A,H,Chamber1,8365,CAB,POST1,0,0,0,0,238.44,0,1558
AGE 10 - TAG A,H,Chamber1,8365,CAB,SHK2,0,0,0,0,584.32,127,1422
AGE 10 - TAG A,H,Chamber1,8365,CAB,POST2,0,0,0,0,253.02,0,1215
AGE 10 - TAG A,H,Chamber1,8365,CAB,SHK3,0,0,0,0,115.78,17,321
AGE 10 - TAG A,H,Chamber1,8365,CAB,POST3,0,0,0,0,216.27,0,1316
AGE 10 - TAG A,H,Chamber1,8365,CAB,SHK4,0,0,0,0,189.53,0,424
AGE 10 - TAG A,H,Chamber1,8365,CAB,POST4,0,0,0,0,263.98,0,1422
AGE 10 - TAG A,H,Chamber2,8488,CAB,PRE,0,0,0,0,306.35,0,2315
AGE 10 - TAG A,H,Chamber2,8488,CAB,SHK1,0,0,0,0,218.63,8,566
AGE 10 - TAG A,H,Chamber2,8488,CAB,POST1,2,2.867,0.64,3.68,210.87,0,1187
AGE 10 - TAG A,H,Chamber2,8488,CAB,SHK2,0,0,0,0,471.47,64,946
